MJD	log10(E)	ang_err	RA	Dec
   55697      4.4      0.7     63.6    -23.1
   55697      3.6      0.2     26.9     -9.6
   55697      3.2      0.2    104.6     -9.8
   55697      3.6      0.4     40.9    -71.9
   55697      4.6      0.5    236.4    -33.4
   55697      5.4      6.0     22.1    -29.9
   55697      2.9      0.4    105.7     -9.9
   55697      3.3      0.3    206.2    -12.8
   55697      4.1      0.3    319.7    -20.9
   55697      3.5      1.0     54.8    -11.6
   55697      4.5      0.8    188.5    -57.9
   55697      3.5      0.4    137.9    -16.8
   55697      3.9      0.3     48.8    -13.5
   55697      4.2      1.0    322.9    -13.5
   55697      4.1      0.1    256.1    -63.2
   55697      2.9      0.9     99.6     -7.6
   55697      4.8      0.3     77.7    -35.7
   55697      2.8      0.7    312.2     -6.4
   55697      4.2      0.3     47.4    -29.6
   55697      4.2      0.3     93.7    -21.5
   55697      3.4      0.3    291.4     -5.5
   55697      3.3      1.3    186.3    -86.2
   55697      4.7      0.3     38.0    -33.9
   55697      5.0      0.5    260.4    -66.6
   55697      4.5      0.3     30.0    -17.4
   55697      4.9      0.3    178.7    -35.1
   55697      4.0      0.1    323.6    -18.7
   55697      5.2      1.8    304.4    -36.4
   55697      4.6      0.2    292.1    -43.8
   55697      4.6      3.2    236.2    -26.3
   55697      3.7      1.3    113.5    -73.1
   55697      4.9      0.4    217.1    -42.4
   55697      3.8      0.6    105.8    -16.7
   55697      4.8      0.5     38.2    -45.6
   55697      5.8      2.4     56.1    -55.2
   55697      4.4      0.3    322.6    -50.0
   55697      5.2      1.9    164.5    -42.6
   55697      5.0      1.6     66.7    -26.8
   55697      4.5      0.5    255.2    -53.3
   55697      5.3      0.2    349.7    -51.3
   55697      5.1      0.4    281.1    -40.0
   55697      3.2      0.9    331.6     -7.4
   55697      4.3      0.5    357.4    -36.0
   55697      4.2      0.2    191.9    -16.5
   55697      4.4      0.2     89.9    -72.8
   55697      5.3      1.3    299.6    -55.6
   55697      3.9      0.6    188.3    -29.0
   55697      4.4      0.4    103.8    -27.9
   55697      3.7      0.2    119.6    -13.3
   55697      5.2      1.4    345.8    -31.9
   55697      4.6      0.2    234.8    -65.0
   55697      4.3      0.2    190.5    -16.1
   55697      3.9      0.2    313.7    -24.7
   55697      5.2      0.2    286.7    -67.0
   55697      3.7      0.3    174.4    -11.1
   55697      5.2      1.5    123.1    -64.0
   55697      4.9      0.8    193.5    -17.1
   55697      3.9      1.2      9.9    -28.7
   55697      4.5      0.4     62.1    -74.7
   55697      3.0      0.4    194.0    -22.2
   55697      4.3      0.5    164.2    -89.9
   55697      4.9      0.1    302.3    -25.7
   55697      5.5      2.0    326.0    -65.6
   55697      5.0      0.3    115.4    -48.2
   55697      5.1      1.5    228.1    -36.7
   55697      4.3      1.8    258.1    -11.2
   55697      4.2      0.5    131.7    -21.3
   55697      4.0      0.2    155.7    -27.5
   55697      4.6      0.2    177.7    -51.3
   55697      4.3      0.8     31.9    -18.9
   55697      4.9      0.3    325.1    -53.9
   55697      4.0      0.2    273.1    -14.2
   55697      5.1      1.5    266.4    -72.4
   55697      4.2      0.5     37.7    -21.1
   55697      5.2      1.1    294.1    -53.4
   55697      3.3      0.7     81.4     -6.9
   55697      3.8      0.2    266.8    -28.0
   55697      4.4      0.3      3.2    -44.0
   55697      4.6      0.3    336.3    -30.7
   55697      5.3      0.7    213.3    -74.7
   55697      4.6      0.2     12.2    -31.7
   55697      5.2      2.0    247.7    -22.5
   55697      5.1      0.4    269.0    -37.8
   55697      4.0      0.2    216.7    -22.3
   55697      4.1      0.2     70.8    -33.9
   55697      3.4      0.7     31.8    -11.3
   55697      5.8     16.1    292.2    -39.7
   55697      5.2      0.6    227.8    -44.4
   55697      4.7      1.2    319.9    -48.7
   55697      6.2      2.2     40.4    -32.8
   55697      3.8      0.2     23.4    -14.7
   55697      5.4      2.3    321.5    -42.4
   55697      4.1      0.2     99.7    -20.0
   55697      3.5      0.4     28.3    -13.2
   55697      4.8      1.3    347.5    -50.1
   55697      5.6      1.4    127.1    -69.4
   55697      5.1      0.7    142.3    -59.8
   55697      5.2      2.3    209.1    -47.4
   55697      5.0      0.8    261.3    -48.5
   55697      4.9      1.5     33.5    -62.9
   55697      4.8      0.2    114.3    -21.3
   55697      4.9      0.2    239.6    -46.7
   55697      5.0      0.3     95.5    -50.1
   55697      4.8      0.2    261.3    -47.2
   55697      4.2      0.2    249.6    -12.2
   55697      3.2      0.2    212.8    -19.4
   55697      5.0      1.6     59.3    -57.0
   55697      3.4      0.3    278.0     -8.5
   55697      4.4      0.3     59.7    -63.5
   55697      5.6      4.0    265.6    -36.7
   55697      5.1      0.4    342.3    -45.6
   55697      3.8      0.3    213.1    -16.4
   55697      5.2      1.1    128.2    -29.9
   55697      5.0      0.7    115.7    -36.7
   55697      4.9      0.8    326.6    -66.1
   55697      4.7      1.1    352.1    -17.0
   55697      4.8      0.4    231.6    -63.6
   55697      4.5      2.0     66.3    -73.6
   55697      4.8      0.3    133.7    -31.4
   55697      3.9      0.2    356.6    -15.7
   55697      4.7      1.9    181.2    -36.7
   55697      4.8      0.2    108.3    -51.2
   55697      5.2      0.2    172.5    -54.4
   55697      4.3      0.5    137.4    -87.1
   55697      2.9      1.5    152.9     -5.9
